epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.791,1.69072,1.58231,1.42779,0.61832,0.4583,0.51156,0.26922,1.6975,1.35699,1.43942,0.000664762,0.000664762,0.000664762
2,253.226,1.69563,1.34042,1.44372,0.57632,0.41596,0.45917,0.21941,1.85147,1.50093,1.5392,0.00131825,0.00131825,0.00131825
3,376.548,1.70257,1.32894,1.44925,0.61048,0.41443,0.47055,0.24777,1.76729,1.41143,1.48836,0.00195853,0.00195853,0.00195853
4,497.376,1.67197,1.30179,1.43749,0.65133,0.4567,0.52818,0.28905,1.6493,1.27989,1.42637,0.0019406,0.0019406,0.0019406
5,619.468,1.63345,1.26373,1.41298,0.65256,0.48333,0.551,0.3046,1.59299,1.25219,1.37444,0.0019208,0.0019208,0.0019208
6,740.494,1.61029,1.23647,1.39881,0.69973,0.47615,0.55866,0.31266,1.58575,1.1905,1.37396,0.001901,0.001901,0.001901
7,861.58,1.59735,1.22344,1.38953,0.70703,0.50409,0.58492,0.32799,1.54794,1.13933,1.36448,0.0018812,0.0018812,0.0018812
8,982.307,1.58072,1.20193,1.37823,0.68818,0.49451,0.57315,0.31924,1.56503,1.19488,1.37204,0.0018614,0.0018614,0.0018614
9,1102.99,1.56606,1.19314,1.37271,0.70094,0.49441,0.57738,0.32294,1.56594,1.15524,1.33532,0.0018416,0.0018416,0.0018416
10,1221.86,1.55681,1.17416,1.36686,0.71467,0.50066,0.59085,0.33906,1.50382,1.12116,1.32496,0.0018218,0.0018218,0.0018218
11,1341.16,1.54052,1.16108,1.35667,0.70877,0.49974,0.58419,0.33024,1.55086,1.10983,1.34563,0.001802,0.001802,0.001802
12,1461.41,1.53301,1.14819,1.34658,0.72026,0.49257,0.58374,0.33764,1.50318,1.12372,1.32145,0.0017822,0.0017822,0.0017822
13,1581.45,1.53385,1.14911,1.34928,0.71831,0.52747,0.61116,0.34945,1.47893,1.08724,1.30202,0.0017624,0.0017624,0.0017624
